,compound,create_date,negative,neutral,news_media,positive,tweets_ago
90,0.0,2017-12-01 11:43:20+00:00,0.0,1.0,CNN,0.0,-90
91,0.6808,2017-12-01 11:29:49+00:00,0.0,0.752,CNN,0.248,-91
92,-0.296,2017-12-01 11:15:01+00:00,0.109,0.891,CNN,0.0,-92
93,-0.9246,2017-12-01 11:04:01+00:00,0.53,0.47,CNN,0.0,-93
94,0.0,2017-12-01 10:49:48+00:00,0.0,1.0,CNN,0.0,-94
95,0.0,2017-12-01 10:35:41+00:00,0.0,1.0,CNN,0.0,-95
96,-0.1779,2017-12-01 10:28:36+00:00,0.082,0.918,CNN,0.0,-96
97,0.7964,2017-12-01 10:14:36+00:00,0.0,0.69,CNN,0.31,-97
98,0.0,2017-12-01 10:00:18+00:00,0.0,1.0,CNN,0.0,-98
99,-0.296,2017-12-01 09:55:07+00:00,0.235,0.539,CNN,0.225,-99
0,-0.3818,2017-12-01 19:00:02+00:00,0.133,0.867,BBC,0.0,0
1,0.0,2017-12-01 18:30:09+00:00,0.0,1.0,BBC,0.0,-1
2,0.5574,2017-12-01 18:01:03+00:00,0.0,0.816,BBC,0.184,-2
3,0.8591,2017-12-01 17:30:09+00:00,0.0,0.667,BBC,0.333,-3
4,0.4767,2017-12-01 17:18:28+00:00,0.0,0.807,BBC,0.193,-4
5,0.0,2017-12-01 17:06:02+00:00,0.0,1.0,BBC,0.0,-5
6,0.4003,2017-12-01 16:30:03+00:00,0.0,0.828,BBC,0.172,-6
7,0.0,2017-12-01 16:03:06+00:00,0.0,1.0,BBC,0.0,-7
8,0.0,2017-12-01 15:31:05+00:00,0.0,1.0,BBC,0.0,-8
9,0.0,2017-12-01 14:59:04+00:00,0.0,1.0,BBC,0.0,-9
10,0.1027,2017-12-01 14:28:33+00:00,0.117,0.748,BBC,0.136,-10
11,-0.296,2017-12-01 14:00:07+00:00,0.115,0.885,BBC,0.0,-11
12,0.0,2017-12-01 13:31:02+00:00,0.0,1.0,BBC,0.0,-12
13,0.5423,2017-12-01 13:00:08+00:00,0.0,0.8,BBC,0.2,-13
14,-0.3818,2017-12-01 12:30:03+00:00,0.233,0.625,BBC,0.142,-14
15,0.8151,2017-12-01 12:18:09+00:00,0.0,0.718,BBC,0.282,-15
16,0.5994,2017-12-01 12:03:01+00:00,0.0,0.769,BBC,0.231,-16
17,0.0,2017-12-01 11:34:46+00:00,0.0,1.0,BBC,0.0,-17
18,0.0,2017-12-01 11:02:10+00:00,0.0,1.0,BBC,0.0,-18
19,-0.2732,2017-12-01 10:34:22+00:00,0.122,0.798,BBC,0.08,-19
20,0.5719,2017-12-01 10:30:07+00:00,0.0,0.829,BBC,0.171,-20
21,0.5719,2017-12-01 10:00:05+00:00,0.0,0.821,BBC,0.179,-21
22,0.296,2017-12-01 09:44:25+00:00,0.0,0.833,BBC,0.167,-22
23,0.5093,2017-12-01 09:02:06+00:00,0.0,0.829,BBC,0.171,-23
24,0.0,2017-12-01 08:44:23+00:00,0.0,1.0,BBC,0.0,-24
25,0.0,2017-12-01 08:44:13+00:00,0.0,1.0,BBC,0.0,-25
26,0.6114,2017-12-01 08:43:21+00:00,0.0,0.501,BBC,0.499,-26
27,0.5267,2017-12-01 08:43:18+00:00,0.0,0.876,BBC,0.124,-27
28,0.0,2017-12-01 08:43:08+00:00,0.0,1.0,BBC,0.0,-28
29,0.0,2017-12-01 08:40:03+00:00,0.0,1.0,BBC,0.0,-29
30,0.0,2017-12-01 08:20:04+00:00,0.0,1.0,BBC,0.0,-30
31,0.5213,2017-12-01 08:00:06+00:00,0.0,0.786,BBC,0.214,-31
32,0.0,2017-12-01 07:38:05+00:00,0.0,1.0,BBC,0.0,-32
33,0.0,2017-11-30 20:35:05+00:00,0.0,1.0,BBC,0.0,-33
34,0.0,2017-11-30 20:02:03+00:00,0.0,1.0,BBC,0.0,-34
35,0.0,2017-11-30 19:33:02+00:00,0.0,1.0,BBC,0.0,-35
36,0.2263,2017-11-30 19:00:08+00:00,0.0,0.905,BBC,0.095,-36
37,0.0,2017-11-30 18:33:03+00:00,0.0,1.0,BBC,0.0,-37
38,0.6369,2017-11-30 18:00:13+00:00,0.0,0.704,BBC,0.296,-38
39,0.2263,2017-11-30 17:27:05+00:00,0.0,0.84,BBC,0.16,-39
40,0.0,2017-11-30 17:00:18+00:00,0.0,1.0,BBC,0.0,-40
41,0.7712,2017-11-30 16:46:25+00:00,0.0,0.749,BBC,0.251,-41
42,0.5719,2017-11-30 16:32:03+00:00,0.0,0.709,BBC,0.291,-42
43,0.7269,2017-11-30 16:25:30+00:00,0.106,0.549,BBC,0.345,-43
44,0.4767,2017-11-30 16:25:14+00:00,0.0,0.796,BBC,0.204,-44
45,0.0,2017-11-30 16:25:02+00:00,0.0,1.0,BBC,0.0,-45
46,0.0,2017-11-30 16:23:02+00:00,0.0,1.0,BBC,0.0,-46
47,0.5983,2017-11-30 16:22:48+00:00,0.0,0.755,BBC,0.245,-47
48,0.0,2017-11-30 16:02:14+00:00,0.0,1.0,BBC,0.0,-48
49,0.0,2017-11-30 15:30:05+00:00,0.0,1.0,BBC,0.0,-49
50,-0.1531,2017-11-30 14:59:03+00:00,0.111,0.808,BBC,0.081,-50
51,0.0,2017-11-30 14:33:05+00:00,0.0,1.0,BBC,0.0,-51
52,-0.6486,2017-11-30 14:00:14+00:00,0.249,0.751,BBC,0.0,-52
53,0.5106,2017-11-30 13:30:06+00:00,0.0,0.852,BBC,0.148,-53
54,0.3818,2017-11-30 13:00:09+00:00,0.0,0.776,BBC,0.224,-54
55,0.4019,2017-11-30 12:33:01+00:00,0.0,0.891,BBC,0.109,-55
56,0.6705,2017-11-30 12:00:09+00:00,0.0,0.784,BBC,0.216,-56
57,0.0,2017-11-30 11:33:03+00:00,0.0,1.0,BBC,0.0,-57
58,0.0,2017-11-30 11:03:32+00:00,0.0,1.0,BBC,0.0,-58
59,0.636,2017-11-30 09:02:06+00:00,0.0,0.792,BBC,0.208,-59
60,-0.2716,2017-11-30 08:40:06+00:00,0.11,0.89,BBC,0.0,-60
61,0.4404,2017-11-30 08:20:04+00:00,0.174,0.563,BBC,0.263,-61
62,0.0,2017-11-30 08:03:02+00:00,0.0,1.0,BBC,0.0,-62
63,0.0,2017-11-30 07:38:04+00:00,0.0,1.0,BBC,0.0,-63
64,0.0,2017-11-29 19:48:10+00:00,0.0,1.0,BBC,0.0,-64
65,-0.3182,2017-11-29 19:45:53+00:00,0.133,0.867,BBC,0.0,-65
66,0.0,2017-11-29 19:43:46+00:00,0.0,1.0,BBC,0.0,-66
67,0.0,2017-11-29 19:41:46+00:00,0.0,1.0,BBC,0.0,-67
68,0.5267,2017-11-29 19:38:12+00:00,0.0,0.726,BBC,0.274,-68
69,0.9439,2017-11-29 19:36:04+00:00,0.0,0.582,BBC,0.418,-69
70,0.0,2017-11-29 19:35:48+00:00,0.0,1.0,BBC,0.0,-70
71,0.0,2017-11-29 19:35:44+00:00,0.0,1.0,BBC,0.0,-71
72,0.4767,2017-11-29 19:28:04+00:00,0.105,0.654,BBC,0.242,-72
73,0.0,2017-11-29 19:05:03+00:00,0.0,1.0,BBC,0.0,-73
74,0.0,2017-11-29 18:33:04+00:00,0.0,1.0,BBC,0.0,-74
75,0.0,2017-11-29 18:03:05+00:00,0.0,1.0,BBC,0.0,-75
76,-0.6486,2017-11-29 17:29:04+00:00,0.3,0.562,BBC,0.139,-76
77,0.1007,2017-11-29 17:05:05+00:00,0.103,0.774,BBC,0.123,-77
78,0.4574,2017-11-29 16:33:12+00:00,0.0,0.87,BBC,0.13,-78
79,0.0,2017-11-29 16:09:40+00:00,0.0,1.0,BBC,0.0,-79
80,-0.6705,2017-11-29 14:00:11+00:00,0.231,0.769,BBC,0.0,-80
81,0.0,2017-11-29 13:39:49+00:00,0.0,1.0,BBC,0.0,-81
82,0.0,2017-11-29 13:30:02+00:00,0.0,1.0,BBC,0.0,-82
83,0.8271,2017-11-29 13:03:03+00:00,0.0,0.535,BBC,0.465,-83
84,0.0,2017-11-29 12:28:04+00:00,0.0,1.0,BBC,0.0,-84
85,0.6124,2017-11-29 12:03:01+00:00,0.0,0.688,BBC,0.312,-85
86,0.4588,2017-11-29 11:59:42+00:00,0.0,0.833,BBC,0.167,-86
87,0.0,2017-11-29 11:41:26+00:00,0.0,1.0,BBC,0.0,-87
88,0.6808,2017-11-29 11:27:33+00:00,0.0,0.804,BBC,0.196,-88
89,0.128,2017-11-29 11:23:54+00:00,0.0,0.923,BBC,0.077,-89
90,0.5859,2017-11-29 09:36:43+00:00,0.0,0.798,BBC,0.202,-90
91,0.4588,2017-11-29 09:33:03+00:00,0.0,0.714,BBC,0.286,-91
92,0.2732,2017-11-29 09:02:06+00:00,0.0,0.87,BBC,0.13,-92
93,0.5719,2017-11-29 08:45:04+00:00,0.0,0.802,BBC,0.198,-93
94,0.8553,2017-11-29 08:42:09+00:00,0.061,0.609,BBC,0.33,-94
95,0.4588,2017-11-29 08:37:54+00:00,0.083,0.72,BBC,0.197,-95
96,0.1531,2017-11-29 08:37:30+00:00,0.0,0.914,BBC,0.086,-96
97,0.8625,2017-11-29 08:36:59+00:00,0.0,0.551,BBC,0.449,-97
98,0.0,2017-11-29 08:33:05+00:00,0.0,1.0,BBC,0.0,-98
99,0.4767,2017-11-29 08:00:06+00:00,0.0,0.744,BBC,0.256,-99
0,0.3612,2017-12-01 22:43:05+00:00,0.0,0.884,CBS,0.116,0
1,0.4199,2017-12-01 22:15:28+00:00,0.0,0.866,CBS,0.134,-1
2,0.7707,2017-12-01 21:00:12+00:00,0.0,0.718,CBS,0.282,-2
3,0.0,2017-12-01 20:17:18+00:00,0.0,1.0,CBS,0.0,-3
4,0.8221,2017-12-01 19:32:18+00:00,0.0,0.691,CBS,0.309,-4
5,0.0,2017-12-01 18:40:34+00:00,0.0,1.0,CBS,0.0,-5
6,0.0,2017-12-01 18:16:37+00:00,0.0,1.0,CBS,0.0,-6
7,0.0,2017-12-01 18:10:11+00:00,0.0,1.0,CBS,0.0,-7
8,0.6893,2017-12-01 14:00:04+00:00,0.0,0.749,CBS,0.251,-8
9,0.1901,2017-12-01 12:00:03+00:00,0.0,0.907,CBS,0.093,-9
10,0.296,2017-12-01 01:31:30+00:00,0.0,0.872,CBS,0.128,-10
